SCHOOL NO.,ENGLISH CATEGORY,ùùù___ÑO,ENGLISH NAME,ùùù_°W‰_,ENGLISH ADDRESS,ùùù_°aÑ},LONGITUDE,îg∏_,LATITUDE,©n∏_,EASTING,Ñù¶æÌF,NORTHING,Ñù¶æ¢_,STUDENTS GENDER,_NèÌΩ_¢_ˆ∆ÑO,SESSION,Ω_˜_œì©í˜ê_–,DISTRICT,ù£_ù,FINANCE TYPE,î_ÑU‰ù__,SCHOOL LEVEL,Ω_˜___∏›,TELEPHONE,ëp_î_qî_,FAX NUMBER,___uî_©X,WEBSITE,‰_—_,RELIGION,ˆvœæ
549371000000,Aided Primary Schools,î_ÑUùpΩ_,SKH TIN SHUI WAI LING OI PRIMARY SCHOOL,îtù©ú|ùÛù_Å__FúRùpΩ_,82 TIN SHUI ROAD TIN SHUI WAI YUEN LONG NEW TERRITORIES,ús›êùî˜üùÛù_Å_ùÛú_î_82î_,114-0-4,114-0-4,22-28-4,22-28-4,818174,818174,836496,836496,CO-ED,_kùk,WHOLE DAY,¢_ù_,YUEN LONG,ùî˜ü_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,24461633,24461633,24461630,24461630,http://www.skhtswlo.edu.hk,http://www.skhtswlo.edu.hk,PROTESTANTISM / CHRISTIANITY,__ú_œæ
514411000000,Aided Primary Schools,î_ÑUùpΩ_,CCC TAI O PRIMARY SCHOOL,ùù_ù__ú_œæú|ùjóDùpΩ_,"24-26 MARKET STREET, TAI O LANTAU ISLAND NEW TERRITORIES",ús›êùj£›ùsùjóD_´¢∏_´24-26î_,113-51-42,113-51-42,22-15-16,22-15-16,803778,803778,812876,812876,CO-ED,_kùk,WHOLE DAY,¢_ù_,ISLANDS,ì_˜q_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,29857515,29857515,29857907,29857907,http://www.ccctaiops.edu.hk,http://www.ccctaiops.edu.hk,PROTESTANTISM / CHRISTIANITY,__ú_œæ
512052000000,Aided Primary Schools,î_ÑUùpΩ_,S.K.H. HOLY CARPENTER PRIMARY SCHOOL    ,îtù©ú|ît°KùpΩ_,14 KWEI CHOW STREET KOWLOON,ùE£s_Q°{_´14î_,114-11-34,114-11-34,22-18-59,22-18-59,837907,837907,819702,819702,CO-ED,_kùk,WHOLE DAY,¢_ù_,KOWLOON CITY,ùE£s∏__ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,23332313,23332313,23647757,23647757,http://www.hcps.edu.hk,http://www.hcps.edu.hk,PROTESTANTISM / CHRISTIANITY,__ú_œæ
600881000000,Aided Primary Schools,î_ÑUùpΩ_,C&MA SUN KEI PRI SCH (PING SHEK),__ú_œæ∏è_Dú|∏è__ùpΩ_(ˆW¢_),ESTATE SCHOOL NO.2 PING SHEK ESTATE 12 CLEAR WATER BAY ROAD KOWLOON,ùE£sçMù__W_D12î_ˆW¢_?∏_?ùpΩ_ç_ùG˜_Ì_,114-12-39,114-12-39,22-20-2,22-20-2,839779,839779,821663,821663,CO-ED,_kùk,WHOLE DAY,¢_ù_,KWUN TONG,_[__ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,23423322,23423322,23423396,23423396,,,PROTESTANTISM / CHRISTIANITY,__ú_œæ
114901000000,Aided Primary Schools,î_ÑUùpΩ_,FREE METHODIST BRADBURY CHUN LEI PRI SCH,_`çzú|¢___çz__Ì__`çzùpΩ_,SUN CHUI ESTATE SHATIN NEW TERRITORIES,ús›ê_F¢æúsåA?,114-10-52,114-10-52,22-22-14,22-22-14,836712,836712,825708,825708,CO-ED,_kùk,WHOLE DAY,¢_ù_,SHA TIN,_F¢æ_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,26057755,26057755,26020092,26020092,http://www.chunlei.edu.hk,http://www.chunlei.edu.hk,PROTESTANTISM / CHRISTIANITY,__ú_œæ
513253000000,Aided Primary Schools,î_ÑUùpΩ_,PO YAN OBLATE PRIMARY SCHOOL,_m¢Dú|úëù_ùpΩ_,15 LOK SIN ROAD KOWLOON,ùE£s¶__©_D15î_,114-11-33,114-11-33,22-19-55,22-19-55,837878,837878,821421,821421,CO-ED,_kùk,WHOLE DAY,¢_ù_,WONG TAI SIN,_£ùj¢P_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,23823474,23823474,23834403,23834403,http://www.poyan.edu.hk,http://www.poyan.edu.hk,CATHOLICISM,ùÛ¢Dœæ
513687000000,Aided Primary Schools,î_ÑUùpΩ_,SACRED HEART CANOSSIAN SCHOOL(WHOLE DAY),_èó_¶åîtùˇΩ_˜_(¢_ù_),26 CAINE ROAD CENTRAL HONG KONG,—å__ùù£___D26î_,114-9-13,114-9-13,22-16-49,22-16-49,833861,833861,815707,815707,GIRLS,ùk,WHOLE DAY,¢_ù_,CENTRAL AND WESTERN,ùù°__ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,25248679,25248679,28698154,28698154,http://www.shcs.edu.hk,http://www.shcs.edu.hk,CATHOLICISM,ùÛ¢Dœæ
512664000000,Aided Primary Schools,î_ÑUùpΩ_,LING TO CATHOLIC PRIMARY SCHOOL,ùÛ¢Dœæå_˜qΩ_˜_,ESTATE PRIMARY SCHOOL CHUN MAN COURT HOMANTIN KOWLOON,ùE£s°´ù_¢æ∏T¢ë—b∏_?ùpΩ_,114-10-46,114-10-46,22-18-53,22-18-53,836519.5,836519.5,819527.1,819527.1,CO-ED,_kùk,WHOLE DAY,¢_ù_,KOWLOON CITY,ùE£s∏__ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,27139234,27139234,27142640,27142640,http://www.lingto.edu.hk,http://www.lingto.edu.hk,CATHOLICISM,ùÛ¢Dœæ
510343000000,Aided Primary Schools,î_ÑUùpΩ_,TWGH LO YU CHIK PRIMARY SCHOOL,ÌF_ùùT_|__î_ónùpΩ_,51 PITT STREET YAUMATEI KOWLOON,ùE£sÌoÅì°a‰Û_´51î_,114-10-16,114-10-16,22-18-52,22-18-52,835685,835685,819485,819485,CO-ED,_kùk,WHOLE DAY,¢_ù_,YAU TSIM MONG,Ìo°yˆ__ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,27800039,27800039,23841605,23841605,http://www.twghlycp.edu.hk,http://www.twghlycp.edu.hk,NOT APPLICABLE,ù_ΩA¢_
513083000000,Aided Primary Schools,î_ÑUùpΩ_,CHAN''S CREATIVE SCHOOL (HONG KONG ISLAND),?__Ω_˜_–]__˜q–^,82 MARBLE ROAD NORTH POINT HONG KONG,—å__¢__ù_____D82î_,114-12-10,114-12-10,22-17-32,22-17-32,838923,838923,817030,817030,CO-ED,_kùk,WHOLE DAY,¢_ù_,EASTERN,ÌF_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,25614302,25614302,25610839,25610839,http://www.ccshki.edu.hk,http://www.ccshki.edu.hk,NOT APPLICABLE,ù_ΩA¢_
522023000000,Aided Primary Schools,î_ÑUùpΩ_,CHING CHUNG HAU PO WOON PRIMARY SCHOOL,∏CÌQ∏J__∏˜ùpΩ_,FU TUNG ESTATE TUNG CHUNG LANTAU ISLAND NEW TERRITORIES,ús›êùj£›ùsÌF_F_IÌF?,113-56-38,113-56-38,22-17-18,22-17-18,812256,812256,816634,816634,CO-ED,_kùk,WHOLE DAY,¢_ù_,ISLANDS,ì_˜q_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,21090070,21090070,21090013,21090013,http://www.cchpwps.edu.hk,http://www.cchpwps.edu.hk,TAOISM,_Dœæ
514454000000,Aided Primary Schools,î_ÑUùpΩ_,TAK SUN SCHOOL,¶w∏HΩ_˜_,103 AUSTIN ROAD AND 3/F & PORTION OF 4/F REAR BUILDING 103 AUSTIN ROAD KOWLOON,ùE£s›_ùh_l_D103î_ù_›_ùh_l_D103î_∏ò˜y3¶_ù_4¶_Å–ù£,114-10-20,114-10-20,22-18-14,22-18-14,835799,835799,818326,818326,BOYS,_k,WHOLE DAY,¢_ù_,YAU TSIM MONG,Ìo°yˆ__ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,23673446,23673446,23661589,23661589,http://www.taksun.edu.hk,http://www.taksun.edu.hk,CATHOLICISM,ùÛ¢Dœæ
